date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:39:14	180176/180176	---M-Z	200	added ('OK')	text/html	etag:W/%225afbcc7a98015ce5a71d14c951aeaec6%22	https://www.fineartnori.com/	C:/ArtSite/Art/www.fineartnori.com/index.html	(from )
15:39:15	6518/6518	---M-Z	200	added ('OK')	text/plain	etag:%22db7c3c19eba33f9a409b02540a44b15a%22	https://assets.squarespace.com/universal/default-favicon.ico	C:/ArtSite/Art/assets.squarespace.com/universal/default-favicon.ico	(from https://www.fineartnori.com/)
15:39:15	42387/42387	---M-Z	200	added ('OK')	text/javascript	etag:%22848ddcc7a5193f9dbeb177386b6c0dda%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	C:/ArtSite/Art/assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	(from https://www.fineartnori.com/)
15:39:15	8/8	---M--	200	added ('OK')	text/html	date:Sat,%2020%20Dec%202025%2014:39:16%20GMT	https://images.squarespace-cdn.com/	C:/ArtSite/Art/images.squarespace-cdn.com/index.html	(from https://www.fineartnori.com/)
15:39:17	44762/44762	---M-Z	200	added ('OK')	text/javascript	etag:%221245f3cb5aea681b7fdf4ec013bfa9f2%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-6514352c3a647ca0-min.en-US.js	C:/ArtSite/Art/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-6514352c3a647ca0-min.en-US.js	(from https://www.fineartnori.com/)
15:39:18	117609/117609	---M-Z	200	added ('OK')	text/javascript	etag:%22fe0d53a94823df972dbf107bf190771a%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	C:/ArtSite/Art/assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	(from https://www.fineartnori.com/)
15:39:19	18374/18374	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2020%20Dec%202025%2014:39:19%20GMT	http://use.typekit.net/ik/TL9msad0Mo-q-BAlYe46KagvJlY_c4MWrG8IDPhcMj9fe7SIfFHN4UJLFRbh52jhWDjUjhBqjDi8jhmRZQ8cFeIawQwDZA9owy7wMkG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBDOcu8OfG0SaBujW48SagyjhmDjhy8ZYmC-Ao1OcFzdP37O1sudcooOWF8Se8yOWF8Zh90SaBujW48Sagyjh90jhNlOeBRiA8XpWFR-emqiAUTdcS0jhNlOeBRiA8XpWFR-emqiAUTdcS0dcmXOeBDOcu8OeZTdcmyS1s0da4TOcFzdPUCdhFydeyzSabCSaBujW48SagyjhmDjhy8ZYmC-Ao1OcFzdPUXiAo0pPuDZWgTjPuDZAi8O1FUiABkZWF3jAF8OcFzdPUaiaS0jAFu-WsoShFGZAsude80ZkoRdhXCiaiaOcBRiA8XpWFR-emqiAUTdcS0dcmXOYiaikoySkolZPUaiaS0Zc80ZABkieozScq0jhNlOYiaikoDSWmyScmDSeBRZWFR-emqiAUTdcS0jhNlOYiaikoXiAo0pPuDZWgTjPuDZAi8O1FUiABkZWF3jAF8OcFzdPJwSY4zpe8ljPu0daZyJ6oCiewljcNqdhoTOQIaFPG4f5J7IMMjMkMfH6qJn3IbMg6IJMJ7f6K3UMIbMg6BJMJ7fbKOMsMMeMS6MKG4f5w7IMMj2PMfH6qJRMIbMg6sJMJ7fbRxHUMgeMb6MTMglCKlR6j.js	C:/ArtSite/Art/use.typekit.net/ik/TL9msad0Mo-q-BAlYe46KagvJlY_c4MWrG8IDPhcMj9fe7SIfFHN4UJLFRbh52jhWDjUjhBqjDi8jhmRZQ8cFeIawQwDZA9owy7wMkG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBDOcu8OfG0SaBujW48SagyjhmDjhy8ZYmC-A	(from https://www.fineartnori.com/)
15:39:21	91514/91514	---M-Z	200	added ('OK')	text/javascript	etag:%220954d3e190bd3f089872c4b0798c8b40%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-22ed584d99d9b83d-min.en-US.js	C:/ArtSite/Art/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-22ed584d99d9b83d-min.en-US.js	(from https://www.fineartnori.com/)
15:39:22	857780/857780	---M-Z	200	added ('OK')	text/javascript	etag:%2295e588ae39cdec31508f47e3cc14a6d4%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-6f2a1f6ec9a41489-min.en-US.js	C:/ArtSite/Art/assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-6f2a1f6ec9a41489-min.en-US.js	(from https://www.fineartnori.com/)
15:39:26	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2020%20Dec%202025%2014:39:16%20GMT	https://p.typekit.net/	C:/ArtSite/Art/p.typekit.net/index.html	(from https://www.fineartnori.com/)
